site_id,round,plot_id,bee_date,julian.date,bee_season_type,area,cover_type,bare_perc,grass_perc,forb_perc,grass_forb_perc,grass_h,forb_h,floral_perc,bombus_floral_perc,grass_forb_floral_perc,flood_perc,dry_root_perc,bryo_perc,bare_flood_dry_bryo_perc,bare_dry_bryo_perc,floral_richness,bombus_floral_richness,floral_abun,bombus_floral_abun,bombus_floral_abun_nv,nest_searching_queens,workers,forage_vaco,num_burrows,num_active_burrows,num_inactive_burrows,prop_inactive_burrows,num_active_dm,num_dm_size,prop_dm_size,num_inactive_dm
gwb_neaves,2024_r2,p1,2024-05-22,143,worker,pittmeadows_1,grass,46.666666666666664,6.083333333333333,0.16666666666666666,6.25,10.25,0.5833333333333334,10.166666666666666,10.166666666666666,16.416666666666664,0,4.416666666666667,0,51.08333333333333,51.08333333333333,4,3,4,4,2,0,0,0,7,5,1,0.14285714285714285,2,0,0,0
gwb_neaves,2024_r2,p2,2024-05-22,143,worker,pittmeadows_1,grass,36.916666666666664,6.75,29.416666666666668,36.16666666666667,19.333333333333332,16.083333333333332,7.416666666666667,7.416666666666667,43.583333333333336,0,1.25,0.6666666666666666,38.83333333333333,38.83333333333333,6,5,4,4,2,0,0,0,1,0,1,1,0,0,0,0
gwb_neaves,2024_r2,d,2024-05-22,143,worker,pittmeadows_1,grass,32.083333333333336,20.833333333333332,26.666666666666668,47.5,46.666666666666664,40.583333333333336,7.416666666666667,7.25,54.75,0,0,1.25,33.333333333333336,33.333333333333336,10,8,3,3,3,2,0,0,38,0,0,0,0,0,0,0
gwb_neaves,2024_r3,p1,2024-06-20,172,worker,pittmeadows_1,grass,48.25,11.291666666666666,3.125,14.416666666666666,24.083333333333332,9.083333333333334,2.0833333333333335,2.0833333333333335,16.5,0,0,2.9166666666666665,51.166666666666664,51.166666666666664,7,4,3,3,3,0,0,0,7,5,1,0.14285714285714285,2,0,0,0
gwb_neaves,2024_r3,p2,2024-06-20,172,worker,pittmeadows_1,grass,25.666666666666668,12.333333333333334,27.208333333333332,39.541666666666664,19.75,18,1.6666666666666667,1.6666666666666667,41.20833333333333,0,0.08333333333333333,0,25.75,25.75,2,1,3,3,3,0,0,0,1,0,1,1,0,0,0,0
gwb_neaves,2024_r3,d,2024-06-20,172,worker,pittmeadows_1,grass,12.916666666666666,21.916666666666668,32.25,54.16666666666667,85.25,55.25,1.875,1.7916666666666667,55.958333333333336,0,6.25,0,19.166666666666664,19.166666666666664,22,13,4,4,4,0,0,0,38,0,0,0,0,0,0,0
gwb_neaves,2025_r1,p1,2025-04-14,104,nestsearching,pittmeadows_1,grass,42.083333333333336,21.166666666666668,0,21.166666666666668,11.833333333333334,0,0,0,21.166666666666668,0,0,0,42.083333333333336,42.083333333333336,2,1,1,1,1,0,0,0,7,5,1,0.14285714285714285,2,0,0,0
gwb_neaves,2025_r1,p2,2025-04-14,104,nestsearching,pittmeadows_1,grass,32.5,26.458333333333332,5.5,31.958333333333332,14.25,6.166666666666667,0.08333333333333333,0.08333333333333333,32.041666666666664,0,0.25,0,32.75,32.75,3,2,3,2,2,0,0,0,1,0,1,1,0,0,0,0
gwb_neaves,2025_r1,d,2025-04-14,104,nestsearching,pittmeadows_1,grass,3.75,24.5,16.75,41.25,23.75,40.583333333333336,0.041666666666666664,0,41.25,0,47,0,50.75,50.75,5,2,3,3,3,5,0,0,38,0,0,0,0,0,0,0
gwb_neaves,2025_r2,p1,2025-05-06,126,nestsearching,pittmeadows_1,grass,21.416666666666668,38.958333333333336,1.4583333333333333,40.41666666666667,5.833333333333333,7.416666666666667,8,8,48.41666666666667,0,4.083333333333333,0,25.5,25.5,1,1,4,4,0,0,0,0,7,5,1,0.14285714285714285,2,0,0,0
gwb_neaves,2025_r2,p2,2025-05-06,126,nestsearching,pittmeadows_1,grass,17.583333333333332,16.583333333333332,3,19.583333333333332,17.25,12.333333333333334,6.166666666666667,6.166666666666667,25.75,0,0.4166666666666667,0,18,18,4,3,4,4,2,1,0,0,1,0,1,1,0,0,0,0
gwb_neaves,2025_r2,d,2025-05-06,126,nestsearching,pittmeadows_1,grass,8.333333333333334,16.666666666666668,47.5,64.16666666666667,32.083333333333336,42.5,0,0,64.16666666666667,0,20.416666666666668,0,28.75,28.75,0,0,0,0,0,4,0,0,38,0,0,0,0,0,0,0
gwb_neaves,2025_r3,p1,2025-06-24,175,worker,pittmeadows_1,grass,20.416666666666668,27.333333333333332,10.25,37.58333333333333,17.25,8.75,0,0,37.58333333333333,0,1.5833333333333333,3.75,25.75,25.75,1,1,1,1,1,0,0,0,7,5,1,0.14285714285714285,2,0,0,0
gwb_neaves,2025_r3,p2,2025-06-24,175,worker,pittmeadows_1,grass,20,41.5,11.291666666666666,52.791666666666664,15.75,10.666666666666666,0.2916666666666667,0.2916666666666667,53.08333333333333,0,4.166666666666667,1.6666666666666667,25.833333333333336,25.833333333333336,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0
gwb_neaves,2025_r3,d,2025-06-24,175,worker,pittmeadows_1,grass,5.416666666666667,9.666666666666666,52.416666666666664,62.08333333333333,24.416666666666668,49.583333333333336,1.9166666666666667,1.5,63.58333333333333,0,21.25,0,26.666666666666668,26.666666666666668,10,9,4,4,4,0,0,0,38,0,0,0,0,0,0,0
bks_neaves,2024_r1,p1,2024-05-01,122,nestsearching,pittmeadows_1,bare,47.916666666666664,2.875,0.9166666666666666,3.7916666666666665,6.25,2.2916666666666665,1.0416666666666667,1.0416666666666667,4.833333333333333,17.833333333333332,7.916666666666667,0,73.66666666666667,55.83333333333333,1,1,2,2,0,0,0,0,2,0,2,1,0,0,0,0
bks_neaves,2024_r1,p2,2024-05-01,122,nestsearching,pittmeadows_1,bare,72.91666666666667,8.083333333333334,3.8333333333333335,11.916666666666668,5.583333333333333,2.6666666666666665,2.3333333333333335,2.3333333333333335,14.250000000000002,6.666666666666667,3.8333333333333335,0,83.41666666666667,76.75,1,1,3,3,0,0,0,0,2,0,2,1,0,1,0.5,1
bks_neaves,2024_r1,d,2024-05-01,122,nestsearching,pittmeadows_1,bare,0.8333333333333334,25.625,26.75,52.375,50,13.75,0.4166666666666667,0,52.375,0,35.833333333333336,12.916666666666666,49.583333333333336,49.583333333333336,4,0,4,0,0,2,0,0,14,0,0,0,0,0,0,0
bks_neaves,2024_r2,p1,2024-05-22,143,worker,pittmeadows_1,bare,39.583333333333336,13.5,9.375,22.875,13.75,15.416666666666666,3.0833333333333335,3.0833333333333335,25.958333333333332,0,3.3333333333333335,0,42.91666666666667,42.91666666666667,3,2,4,4,2,0,1,3,2,0,2,1,0,0,0,0
bks_neaves,2024_r2,p2,2024-05-22,143,worker,pittmeadows_1,bare,36.666666666666664,16.5,9.041666666666666,25.541666666666664,16.416666666666668,10.916666666666666,3.75,3.75,29.291666666666664,0,0.8333333333333334,0,37.5,37.5,5,2,4,4,2,0,0,3,2,0,2,1,0,1,0.5,1
bks_neaves,2024_r2,d,2024-05-22,143,worker,pittmeadows_1,bare,29.916666666666668,24.25,33.5,57.75,69.58333333333333,41,1.375,1.1666666666666667,58.916666666666664,0,6.25,0,36.16666666666667,36.16666666666667,11,4,3,1,1,0,0,0,14,0,0,0,0,0,0,0
bks_neaves,2024_r3,p1,2024-06-20,172,worker,pittmeadows_1,bare,55.333333333333336,15.583333333333334,13,28.583333333333336,37.666666666666664,37.5,0.3333333333333333,0.3333333333333333,28.916666666666668,8.333333333333334,7.916666666666667,0,71.58333333333334,63.25,9,7,2,2,2,0,0,0,2,0,2,1,0,0,0,0
bks_neaves,2024_r3,p2,2024-06-20,172,worker,pittmeadows_1,bare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0.5,1
bks_neaves,2024_r3,d,2024-06-20,172,worker,pittmeadows_1,bare,7.833333333333333,30.25,0.3333333333333333,30.583333333333332,89.66666666666667,33.75,2.125,2.125,32.70833333333333,0,53.333333333333336,2.0833333333333335,63.25000000000001,63.25000000000001,4,2,3,3,3,1,1,0,14,0,0,0,0,0,0,0
bks_neaves,2025_r1,p1,2025-04-14,104,nestsearching,pittmeadows_1,bare,57.416666666666664,6.25,0.5416666666666666,6.791666666666667,8.166666666666666,0.9166666666666666,0,0,6.791666666666667,0,1.9166666666666667,0,59.33333333333333,59.33333333333333,4,1,3,1,1,0,0,0,2,0,2,1,0,0,0,0
bks_neaves,2025_r1,p2,2025-04-14,104,nestsearching,pittmeadows_1,bare,57.25,11.083333333333334,0.75,11.833333333333334,11,2.5,0,0,11.833333333333334,0,2.8333333333333335,0,60.083333333333336,60.083333333333336,2,0,2,0,0,0,0,0,2,0,2,1,0,1,0.5,1
bks_neaves,2025_r1,d,2025-04-14,104,nestsearching,pittmeadows_1,bare,4.916666666666667,11.75,20.041666666666668,31.791666666666668,50.083333333333336,36.333333333333336,3.25,0.3333333333333333,32.125,0,17.5,20,42.41666666666667,42.41666666666667,6,2,4,2,2,0,0,0,14,0,0,0,0,0,0,0
bks_neaves,2025_r2,p1,2025-05-06,126,nestsearching,pittmeadows_1,bare,28.833333333333332,12.916666666666666,3.5833333333333335,16.5,13.833333333333334,3.0833333333333335,1.5416666666666667,1.5416666666666667,18.041666666666668,0,9.833333333333334,0,38.666666666666664,38.666666666666664,4,1,2,2,2,0,0,0,2,0,2,1,0,0,0,0
